output/FLOPS_DP_c5n0_18.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_19.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_1.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_20.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_21.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_22.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_23.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_24.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_25.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_26.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_27.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_28.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_29.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_2.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_30.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_31.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_32.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |          0 |
output/FLOPS_DP_c5n0_33.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
output/FLOPS_DP_c5n0_34.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |           0 |
